,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
4861,gin,2004,otherprim,0.1225,493.657,0.1025,0.205,0.4823,0.0538,0.4242,0.3866,4.6967,0.4704,0.003,0.7202,6.3828,0.0817,0.1608,0.0002,3.8408,0.161,15.4953,-0.0013,0.0734,0.0237,0.0209,0.0274,0.0573,0.7186,0.3864,otherprim,0.0065,372.086,0.114,0.0136,0.0004,0.0005,0.0014,0.0044,0.5317,0.0016,0.0031,0.0039,6.201,0.0103,0.0104,0.0002,0.0483,0.0003,0.7871,0.0001,0.0104,0.0004,0.0003,0.0015,0.0245,0.0051,0.0824,0.61582,0.494199,0.67323,0.427684,0.596378
5132,irn,2004,energy,1362.93,177.709,40726.5,1431.94,52.5164,296.977,45.5368,96.7999,4.2707,61.7864,1127.73,102.907,349.233,237.008,379.251,621.944,325.069,46.4313,2441.81,2022.65,2334.71,68.4311,37.456,5.7873,198.383,230.506,1317.42,energy,169.993,75.2684,31315.6,41.9375,3.7126,150.579,8.9226,30.4365,2.8062,20.024,733.845,45.6028,349.447,9.9079,10.4066,66.3379,16.6673,0.3614,0.6128,12.7383,459.66,0.9039,2.0781,4.3094,4.9962,2.9628,3.9852,0.654014,0.795611,0.888263,0.841164,0.836113
5240,kaz,2004,energy,191.88,37.9437,7178.01,176.391,7.0202,7.4481,5.3579,7.6275,8.8773,9.3324,120.195,8.1745,438.401,8.8826,10.4051,80.2121,29.1699,3.8885,189.249,167.955,59.234,31.7509,-0.5461,0.4015,-0.0975,72.4707,580.818,energy,31.0099,37.2316,6767.92,11.7912,0.3874,1.1394,0.3382,2.3119,0.3086,0.7106,70.3868,0.7564,413.074,1.2445,2.0225,15.5299,2.6107,0.1563,0.5463,5.9528,39.1404,3.2466,0.0642,0.0356,2.8597,5.0902,32.7894,0.379807,0.627021,0.659688,0.413337,0.641892
5325,khm,2004,clothing,0.0209,0.0079,0.0036,0.0713,0.011,1.2018,773.77,0.3928,0.0147,0.0038,0.0264,0.0044,0.0016,0.0044,0.1052,0.0233,0.0354,0.0023,0.0641,0.2736,0.3034,0.005,0.0055,0.0128,0.0552,0.2562,0.1482,clothing,0.0022,0.0005,0.0,0.007,0.0013,1.1931,761.539,0.297,0.0111,0.001,0.0246,0.0006,0.0015,0.0009,0.0156,0.0037,0.0138,0.0003,0.0006,0.0511,0.2026,0.004,0.003,0.0041,0.0107,0.079,0.0114,0.368178,0.495891,0.548448,0.353295,0.466985
5375,kwt,2004,energy,1.9147,2.2647,29435.7,11.8926,2.0332,0.998,2.3149,0.3896,0.529,2.4506,118.4,3.5681,7.0868,0.6634,4.1698,14.9464,8.6749,121.655,43.5203,146.666,479.503,14.7279,27.2852,6.0625,82.3011,45.4387,191.121,energy,0.0429,1.7246,27702.9,1.5405,0.1581,0.19,0.5083,0.027,0.0568,1.3076,72.8623,1.0638,3.1666,0.1929,0.5143,4.291,2.203,0.2592,0.055,1.3032,275.974,4.1565,0.4678,2.9678,2.839,0.9322,27.2912,0.675,0.807136,0.822163,0.842404,0.838747
5631,mlt,2004,machinery,1.0002,0.0462,0.0762,0.4069,0.0095,0.0228,0.0295,0.0112,0.004,0.0416,0.2547,0.045,0.0138,0.0358,2.0224,1384.5,0.0666,0.1652,0.5119,0.8229,0.4147,4.1552,0.4932,0.0406,1.324,0.2701,3.2677,machinery,0.0784,0.0341,0.0005,0.1938,0.0108,0.0235,0.0274,0.0111,0.004,0.036,0.6609,0.0182,0.0197,0.0346,1.7014,1694.56,0.0505,0.029,0.0306,0.3007,0.3689,2.4135,0.2399,0.0439,0.9422,0.2393,0.1798,0.606833,0.494209,0.593411,0.568743,0.575985
5672,moz,2004,energy,0.5997,1.2089,585.283,0.7727,1.0197,0.2697,0.4055,0.2613,0.6597,0.2935,1.9319,0.1282,395.311,1.0897,0.4356,1.8493,1.0573,3.7268,2.7674,0.0731,3.416,0.307,0.1849,0.1268,0.1775,0.8954,6.6657,energy,0.0727,0.1541,565.964,0.2661,0.0055,0.0556,0.0214,0.0074,0.0307,0.0186,0.5075,0.0216,396.094,1.0899,0.0217,0.2324,0.1367,0.0614,0.0652,0.0181,0.9959,0.0424,0.0083,0.0055,0.1006,0.044,0.1073,0.833959,0.279393,0.50248,0.51584,0.32671
5724,mwi,2004,primaryagr,668.893,0.243,0.3397,25.999,109.102,3.4069,9.763,1.1997,4.0044,4.6558,0.0238,0.0005,0.063,0.1787,0.4781,0.4742,0.1482,0.0357,0.003,16.0261,0.1011,0.0302,0.181,0.4333,0.0108,0.0014,0.4111,primaryagr,223.4,0.0047,0.3391,18.3909,0.5465,1.5394,5.3949,0.0498,0.6218,0.9213,0.0124,0.0004,0.0094,0.0071,0.1062,0.2055,0.0276,0.0004,0.0002,0.0071,0.0543,0.0009,0.0046,0.0112,0.0014,0.0001,0.0031,0.603052,0.448703,0.584764,0.427517,0.512258
5807,nga,2004,energy,27.0117,17.6524,31392.1,43.894,6.8381,2.6035,3.9941,3.0482,2.3112,17.1068,80.6252,9.714,34.5175,4.1672,14.3379,30.759,17.105,0.5158,7.9332,87.2655,362.648,6.5758,15.9214,10.6576,37.8285,28.7706,345.499,energy,0.4452,0.8416,30113.1,0.9245,0.0842,0.7135,0.0137,2.2228,0.4368,1.236,22.0754,2.4318,29.383,2.3382,3.1664,5.1825,0.9498,0.0013,0.0194,10.5857,182.241,0.1088,0.127,0.1538,29.0516,0.2623,0.6384,0.858526,0.869967,0.901368,0.880616,0.884678
5888,nor,2004,energy,93.915,146.73,37146.9,355.839,12.9583,13.0271,4.7338,1.5898,36.4615,181.575,452.415,24.6536,1228.22,25.0733,177.266,141.226,18.9489,13.5218,378.453,656.588,3819.29,73.5702,37.306,14.1675,211.397,171.934,865.721,energy,6.6049,128.517,39685.8,144.328,2.7112,4.9589,1.3566,1.0727,26.1078,93.2951,353.851,12.9403,1218.07,14.6961,65.0708,92.9318,5.4612,0.2117,2.6078,20.9413,2330.41,8.8173,3.9628,2.4792,78.5521,11.457,7.3412,0.739956,0.458843,0.641806,0.528564,0.530057
